dealUniqueId,fromCurrency,toCurrency,dealTimeStamp,dealAmount
DEALID69,IRR,BRL,20-Mar-10,1069
DEALID70,ISK,BSD,21-Mar-10,1070
DEALID71,JMD,BTN,22-Mar-10,1071
DEALID72,JOD,BWP,23-Mar-10,1072
DEALID73,JPY,BYN,24-Mar-10,1073
DEALID74,KES,BZD,25-Mar-10,1074
DEALID75,KGS,CAD,26-Mar-10,1075
DEALID76,KHR,CDF,27-Mar-10,1076
DEALID77,KMF,CHE,28-Mar-10,1077
DEALID78,KPW,CHF,29-Mar-10,1078
DEALID79,KRW,CHW,30-Mar-10,1079
DEALID80,KWD,CLF,31-Mar-10,1080
DEALID81,KYD,CLP,01-Apr-10,1081
DEALID82,KZT,CNY,02-Apr-10,1082
DEALID83,LAK,COP,03-Apr-10,1083
DEALID84,LBP,COU,04-Apr-10,1084
DEALID85,LKR,CRC,05-Apr-10,1085
DEALID86,LRD,CUC,06-Apr-10,1086
DEALID87,LSL,CUP,07-Apr-10,1087
DEALID88,LYD,CVE,08-Apr-10,1088
DEALID89,MAD,CZK,09-Apr-10,1089
DEALID90,MDL,DJF,10-Apr-10,1090
DEALID91,MGA,DKK,11-Apr-10,1091
DEALID92,MKD,DOP,12-Apr-10,1092
DEALID93,MMK,DZD,13-Apr-10,1093
DEALID94,MNT,EGP,14-Apr-10,1094
DEALID95,MOP,ERN,15-Apr-10,1095
DEALID96,MRO,ETB,16-Apr-10,1096
DEALID97,MUR,EUR,17-Apr-10,1097
DEALID98,MVR,FJD,18-Apr-10,1098
DEALID99,MWK,FKP,19-Apr-10,1099
DEALID100,MXN,GBP,20-Apr-10,1100
DEALID101,MXV,GEL,21-Apr-10,1101
DEALID102,MYR,GHS,22-Apr-10,1102
DEALID103,MZN,GIP,23-Apr-10,1103
DEALID104,NAD,GMD,24-Apr-10,1104
DEALID105,NGN,GNF,25-Apr-10,1105
DEALID106,NIO,GTQ,26-Apr-10,1106
DEALID107,NOK,GYD,27-Apr-10,1107
DEALID108,NPR,HKD,28-Apr-10,1108
DEALID109,NZD,HNL,29-Apr-10,1109
DEALID110,OMR,HRK,30-Apr-10,1110
DEALID111,PAB,HTG,01-May-10,1111
DEALID112,PEN,HUF,02-May-10,1112
DEALID113,PGK,IDR,03-May-10,1113
DEALID114,PHP,ILS,04-May-10,1114
DEALID115,PKR,INR,05-May-10,1115
DEALID116,PLN,IQD,06-May-10,1116
DEALID117,PYG,IRR,07-May-10,1117
DEALID118,QAR,ISK,08-May-10,1118
DEALID119,RON,JMD,09-May-10,1119
DEALID120,RSD,JOD,10-May-10,1120
DEALID121,RUB,JPY,11-May-10,1121
DEALID122,RWF,KES,12-May-10,1122
DEALID123,SAR,KGS,13-May-10,1123
DEALID124,SBD,KHR,14-May-10,1124
DEALID125,SCR,KMF,15-May-10,1125
DEALID126,SDG,KPW,16-May-10,1126
DEALID127,SEK,KRW,17-May-10,1127
DEALID128,SGD,KWD,18-May-10,1128
DEALID129,SHP,KYD,19-May-10,1129
DEALID130,SLL,KZT,20-May-10,1130
DEALID131,SOS,LAK,21-May-10,1131
DEALID132,SRD,LBP,22-May-10,1132
DEALID133,SSP,LKR,23-May-10,1133
DEALID134,STD,LRD,24-May-10,1134
DEALID135,SVC,LSL,25-May-10,1135
DEALID136,SYP,LYD,26-May-10,1136
DEALID137,SZL,MAD,27-May-10,1137
DEALID138,THB,MDL,28-May-10,1138
DEALID139,TJS,MGA,29-May-10,1139
DEALID140,TMT,MKD,30-May-10,1140
DEALID141,TND,MMK,31-May-10,1141
DEALID142,TOP,MNT,01-Jun-10,1142
DEALID143,TRY,MOP,02-Jun-10,1143
DEALID144,TTD,MRO,03-Jun-10,1144
DEALID145,TWD,MUR,04-Jun-10,1145
DEALID146,TZS,MVR,05-Jun-10,1146
DEALID147,UAH,MWK,06-Jun-10,1147
DEALID148,UGX,MXN,07-Jun-10,1148
DEALID149,USD,MXV,08-Jun-10,1149
DEALID150,USN,MYR,09-Jun-10,1150
DEALID151,UYI,MZN,10-Jun-10,1151
DEALID152,UYU,NAD,11-Jun-10,1152
DEALID153,UZS,NGN,12-Jun-10,1153
DEALID154,VEF,NIO,13-Jun-10,1154
DEALID155,VND,NOK,14-Jun-10,1155
DEALID156,VUV,NPR,15-Jun-10,1156
DEALID157,WST,NZD,16-Jun-10,1157
DEALID158,XAF,OMR,17-Jun-10,1158
DEALID159,XAG,PAB,18-Jun-10,1159
DEALID160,XAU,PEN,19-Jun-10,1160
DEALID161,XBA,PGK,20-Jun-10,1161
DEALID162,XBB,PHP,21-Jun-10,1162
DEALID163,XBC,PKR,22-Jun-10,1163
DEALID164,XBD,PLN,23-Jun-10,1164
DEALID165,XCD,PYG,24-Jun-10,1165
DEALID166,XDR,QAR,25-Jun-10,1166
DEALID167,XOF,RON,26-Jun-10,1167
DEALID168,XPD,RSD,27-Jun-10,1168
DEALID169,XPF,RUB,28-Jun-10,1169
DEALID170,XPT,RWF,29-Jun-10,1170
DEALID171,XSU,SAR,30-Jun-10,1171
DEALID172,XTS,SBD,01-Jul-10,1172
DEALID173,XUA,SCR,02-Jul-10,1173
DEALID174,XXX,SDG,03-Jul-10,1174
DEALID175,YER,SEK,04-Jul-10,1175
DEALID176,ZAR,SGD,05-Jul-10,1176
DEALID177,ZMW,SHP,06-Jul-10,1177
DEALID178,ZWL,SLL,07-Jul-10,1178
DEALID179,,SOS,08-Jul-10,1179
DEALID180,AED,SRD,09-Jul-10,1180
DEALID181,AFN,SSP,10-Jul-10,1181
DEALID182,ALL,STD,11-Jul-10,1182
DEALID183,AMD,SVC,12-Jul-10,1183
DEALID184,ANG,SYP,13-Jul-10,dfsafsd
DEALID185,AOA,SZL,14-Jul-10,1323add
DEALID186,ARS,THB,15-Jul-10,dsfdsf
DEALID187,AUD,TJS,16-Jul-10,45`
DEALID188,AWG,TMT,17-Jul-10,dsfsfds
DEALID189,AZN,TND,18-Jul-10,`333#dfdsfs
DEALID190,BAM,TOP,19-Jul-10,dsfdsf
DEALID191,BBD,TRY,20-Jul-10,
DEALID192,BDT,TTD,21-Jul-10,
DEALID193,BGN,TWD,22-Jul-10,sdfds
DEALID194,BHD,TZS,23-Jul-10,
DEALID195,BIF,UAH,24-Jul-10,
DEALID196,BMD,UGX,25-Jul-10,sdfds
DEALID197,BND,USD,26-Jul-10,
DEALID198,BOB,USN,27-Jul-10,
DEALID199,BOV,UYI,28-Jul-10,sdfsd
DEALID200,BRL,UYU,29-Jul-10,
DEALID201,BSD,UZS,30-Jul-10,dada
DEALID202,BTN,VEF,31-Jul-10,dsfdsfd
DEALID203,BWP,VND,01-Aug-10,1001
DEALID204,BYN,VUV,02-Aug-10,1002
DEALID205,BZD,WST,03-Aug-10,1003
DEALID206,CAD,XAF,04-Aug-10,1004
DEALID207,CDF,XAG,05-Aug-10,1005
DEALID208,CHE,XAU,06-Aug-10,1006
DEALID209,CHF,XBA,07-Aug-10,1007
DEALID210,CHW,XBB,08-Aug-10,1008
DEALID211,CLF,XBC,09-Aug-10,1009
DEALID212,CLP,XBD,10-Aug-10,1010
DEALID213,CNY,XCD,11-Aug-10,1011
DEALID214,COP,XDR,12-Aug-10,1012
DEALID215,COU,XOF,13-Aug-10,1013
DEALID216,CRC,XPD,14-Aug-10,1014
DEALID217,CUC,XPF,15-Aug-10,1015
DEALID218,CUP,XPT,16-Aug-10,1016
DEALID219,CVE,XSU,17-Aug-10,1017
DEALID220,CZK,XTS,18-Aug-10,1018
DEALID221,DJF,XUA,19-Aug-10,1019
DEALID222,DKK,XXX,20-Aug-10,1020
DEALID223,DOP,YER,21-Aug-10,1021
DEALID224,DZD,ZAR,22-Aug-10,1022
DEALID225,EGP,ZMW,23-Aug-10,1023
DEALID226,ERN,ZWL,24-Aug-10,1024
DEALID227,ETB,,25-Aug-10,1025
DEALID228,EUR,,26-Aug-10,1026
DEALID229,FJD,AED,27-Aug-10,1027
DEALID230,FKP,AFN,28-Aug-10,1028
DEALID231,GBP,ALL,29-Aug-10,1029
DEALID232,GEL,AMD,30-Aug-10,1030
DEALID233,GHS,ANG,31-Aug-10,1031
DEALID234,GIP,AOA,01-Sep-10,1032
DEALID235,GMD,ARS,02-Sep-10,1033
DEALID236,GNF,AUD,03-Sep-10,1034
DEALID237,GTQ,AWG,04-Sep-10,1035
DEALID238,GYD,AZN,05-Sep-10,1036
DEALID239,HKD,BAM,06-Sep-10,1037
DEALID240,HNL,BBD,07-Sep-10,1038
DEALID241,HRK,BDT,08-Sep-10,1039
DEALID242,HTG,BGN,09-Sep-10,1040
DEALID243,HUF,BHD,10-Sep-10,1041
DEALID244,IDR,BIF,11-Sep-10,1042
DEALID245,ILS,BMD,12-Sep-10,1043
DEALID246,INR,BND,13-Sep-10,1044
DEALID247,IQD,BOB,14-Sep-10,1045
DEALID248,IRR,BOV,15-Sep-10,1046
DEALID249,ISK,BRL,16-Sep-10,1047
DEALID250,JMD,BSD,17-Sep-10,1048
DEALID251,JOD,BTN,18-Sep-10,1049
DEALID252,JPY,BWP,19-Sep-10,1050
DEALID253,KES,BYN,20-Sep-10,1051
DEALID254,KGS,BZD,21-Sep-10,1052
DEALID255,KHR,CAD,22-Sep-10,1053
DEALID256,KMF,CDF,23-Sep-10,1054
DEALID257,KPW,CHE,24-Sep-10,1055
DEALID258,KRW,CHF,25-Sep-10,1056
DEALID259,KWD,CHW,26-Sep-10,1057
DEALID260,KYD,CLF,27-Sep-10,1058
DEALID261,KZT,CLP,28-Sep-10,1059
DEALID262,LAK,CNY,29-Sep-10,1060
DEALID263,LBP,COP,30-Sep-10,1061
DEALID264,LKR,COU,01-Oct-10,1062
DEALID265,LRD,CRC,02-Oct-10,1063
DEALID266,LSL,CUC,03-Oct-10,1064
DEALID267,LYD,CUP,04-Oct-10,1065
DEALID268,MAD,CVE,05-Oct-10,1066
DEALID269,MDL,CZK,06-Oct-10,1067
DEALID270,MGA,DJF,07-Oct-10,1068
DEALID271,MKD,DKK,08-Oct-10,1069
DEALID272,MMK,DOP,09-Oct-10,1070
DEALID273,MNT,DZD,10-Oct-10,1071
DEALID274,MOP,EGP,11-Oct-10,1072
DEALID275,MRO,ERN,12-Oct-10,1073
DEALID276,MUR,ETB,13-Oct-10,1074
DEALID277,MVR,EUR,14-Oct-10,1075
DEALID278,MWK,FJD,15-Oct-10,1076
DEALID279,MXN,FKP,16-Oct-10,1077
DEALID280,MXV,GBP,17-Oct-10,1078
DEALID281,MYR,GEL,18-Oct-10,1079
DEALID282,MZN,GHS,19-Oct-10,1080
DEALID283,NAD,GIP,20-Oct-10,1081
DEALID284,NGN,GMD,21-Oct-10,1082
DEALID285,NIO,GNF,22-Oct-10,1083
DEALID286,NOK,GTQ,23-Oct-10,1084
DEALID287,NPR,GYD,24-Oct-10,1085
DEALID288,NZD,HKD,25-Oct-10,1086
DEALID289,OMR,HNL,26-Oct-10,1087
DEALID290,PAB,HRK,27-Oct-10,1088
DEALID291,PEN,HTG,28-Oct-10,1089
DEALID292,PGK,HUF,29-Oct-10,1090
DEALID293,PHP,IDR,30-Oct-10,1091
DEALID294,PKR,ILS,31-Oct-10,1092
DEALID295,PLN,INR,01-Nov-10,1093
DEALID296,PYG,IQD,02-Nov-10,1094
DEALID297,QAR,IRR,03-Nov-10,1095
DEALID298,RON,ISK,04-Nov-10,1096
DEALID299,RSD,JMD,05-Nov-10,1097
DEALID300,RUB,JOD,06-Nov-10,1098
DEALID301,RWF,JPY,07-Nov-10,1099
DEALID302,SAR,KES,08-Nov-10,1100
DEALID303,SBD,KGS,09-Nov-10,1101
DEALID304,SCR,KHR,10-Nov-10,1102
DEALID305,SDG,KMF,11-Nov-10,1103
DEALID306,SEK,KPW,12-Nov-10,1104
DEALID307,SGD,KRW,13-Nov-10,1105
DEALID308,SHP,KWD,14-Nov-10,1106
DEALID309,SLL,KYD,15-Nov-10,1107
DEALID310,SOS,KZT,16-Nov-10,1108
DEALID311,SRD,LAK,17-Nov-10,1109
DEALID312,SSP,LBP,18-Nov-10,1110
DEALID313,STD,LKR,19-Nov-10,1111
DEALID314,SVC,LRD,20-Nov-10,1112
DEALID315,SYP,LSL,21-Nov-10,1113
DEALID316,SZL,LYD,22-Nov-10,1114
DEALID317,THB,MAD,23-Nov-10,1115
DEALID318,TJS,MDL,24-Nov-10,1116
DEALID319,TMT,MGA,25-Nov-10,1117
DEALID320,TND,MKD,26-Nov-10,1118
DEALID321,TOP,MMK,27-Nov-10,1119
DEALID322,TRY,MNT,28-Nov-10,1120
DEALID323,TTD,MOP,29-Nov-10,1121
DEALID324,TWD,MRO,30-Nov-10,1122
DEALID325,TZS,MUR,01-Dec-10,1123
DEALID326,UAH,MVR,02-Dec-10,1124
DEALID327,UGX,MWK,03-Dec-10,1125
DEALID328,USD,MXN,04-Dec-10,1126
DEALID329,USN,MXV,05-Dec-10,1127
DEALID330,UYI,MYR,06-Dec-10,1128
DEALID331,UYU,MZN,07-Dec-10,1129
DEALID332,UZS,NAD,08-Dec-10,1130
DEALID333,VEF,NGN,09-Dec-10,1131
DEALID334,VND,NIO,10-Dec-10,1132
DEALID335,VUV,NOK,11-Dec-10,1133
DEALID336,WST,NPR,12-Dec-10,1134
DEALID337,XAF,NZD,13-Dec-10,1135
DEALID338,XAG,OMR,14-Dec-10,1136
DEALID339,XAU,PAB,15-Dec-10,1137
DEALID340,XBA,PEN,16-Dec-10,1138
DEALID341,XBB,PGK,17-Dec-10,1139
DEALID342,XBC,PHP,18-Dec-10,1140
DEALID343,XBD,PKR,19-Dec-10,1141
DEALID344,XCD,PLN,20-Dec-10,1142
DEALID345,XDR,PYG,21-Dec-10,1143
DEALID346,XOF,QAR,22-Dec-10,1144
DEALID347,XPD,RON,23-Dec-10,1145
DEALID348,XPF,RSD,24-Dec-10,1146
DEALID349,XPT,RUB,25-Dec-10,1147
DEALID350,XSU,RWF,26-Dec-10,1148
DEALID351,XTS,SAR,27-Dec-10,1149
DEALID352,XUA,SBD,28-Dec-10,1150
DEALID353,XXX,SCR,29-Dec-10,1151
DEALID354,YER,SDG,30-Dec-10,1152
DEALID355,ZAR,SEK,31-Dec-10,1153
DEALID356,ZMW,SGD,01-Jan-11,1154
DEALID357,ZWL,SHP,02-Jan-11,1155
DEALID358,,SLL,03-Jan-11,1156
DEALID359,,SOS,04-Jan-11,1157
DEALID360,AED,SRD,05-Jan-11,1158
DEALID361,AFN,SSP,06-Jan-11,1159
DEALID362,ALL,STD,07-Jan-11,1160
DEALID363,AMD,SVC,08-Jan-11,1161
DEALID364,ANG,SYP,09-Jan-11,1162
DEALID365,AOA,SZL,10-Jan-11,1163
DEALID366,ARS,THB,11-Jan-11,1164
DEALID367,AUD,TJS,12-Jan-11,1165
DEALID368,AWG,TMT,13-Jan-11,1166
DEALID369,AZN,TND,14-Jan-11,1167
DEALID370,BAM,TOP,15-Jan-11,1168
DEALID371,BBD,TRY,16-Jan-11,1169
DEALID372,BDT,TTD,17-Jan-11,1170
DEALID373,BGN,TWD,18-Jan-11,1171
DEALID374,BHD,TZS,19-Jan-11,1172
DEALID375,BIF,UAH,20-Jan-11,1173
DEALID376,BMD,UGX,21-Jan-11,1174
DEALID377,BND,USD,22-Jan-11,1175
DEALID378,BOB,USN,23-Jan-11,1176
DEALID379,BOV,UYI,24-Jan-11,1177
DEALID380,BRL,UYU,25-Jan-11,1178
DEALID381,BSD,UZS,26-Jan-11,1179
DEALID382,BTN,VEF,27-Jan-11,1180
DEALID383,BWP,VND,28-Jan-11,1181
DEALID384,BYN,VUV,29-Jan-11,1182
DEALID385,BZD,WST,30-Jan-11,1183
DEALID386,CAD,XAF,31-Jan-11,dfsafsd
DEALID387,CDF,XAG,01-Feb-11,1323add
DEALID388,CHE,XAU,02-Feb-11,dsfdsf
DEALID389,CHF,XBA,03-Feb-11,45`
DEALID390,CHW,XBB,04-Feb-11,dsfsfds
DEALID391,CLF,XBC,05-Feb-11,`333#dfdsfs
DEALID392,CLP,XBD,06-Feb-11,5
DEALID393,CNY,XCD,07-Feb-11,5555
DEALID394,COP,XDR,08-Feb-11,5
DEALID395,COU,XOF,09-Feb-11,sdfds
DEALID396,CRC,XPD,10-Feb-11,55
DEALID397,CUC,XPF,11-Feb-11,555
DEALID398,CUP,XPT,12-Feb-11,sdfds
DEALID399,CVE,XSU,13-Feb-11,1234
DEALID400,CZK,XTS,14-Feb-11,1w4q42
DEALID401,DJF,XUA,15-Feb-11,sdfsd
DEALID402,DKK,XXX,16-Feb-11,sdqe
DEALID403,DOP,YER,17-Feb-11,dada
DEALID404,DZD,ZAR,18-Feb-11,dsfdsfd
DEALID405,EGP,ZMW,19-Feb-11,1001
DEALID406,ERN,ZWL,20-Feb-11,1002
DEALID407,ETB,,21-Feb-11,1003
DEALID408,EUR,,22-Feb-11,1004
DEALID409,FJD,,23-Feb-11,1005
DEALID410,FKP,,24-Feb-11,1006
DEALID411,GBP,,25-Feb-11,1007
DEALID412,GEL,,26-Feb-11,1008
DEALID413,GHS,,27-Feb-11,1009
DEALID414,GIP,,28-Feb-11,1010
DEALID415,GMD,,01-Mar-11,1011
DEALID416,GNF,,02-Mar-11,1012
DEALID417,GTQ,,03-Mar-11,1013
DEALID418,GYD,,04-Mar-11,1014
DEALID419,HKD,,05-Mar-11,1015
DEALID420,HNL,,06-Mar-11,1016
DEALID421,HRK,,07-Mar-11,1017
DEALID422,HTG,,08-Mar-11,1018
DEALID423,HUF,,09-Mar-11,1019
DEALID424,IDR,,10-Mar-11,1020
DEALID425,ILS,,11-Mar-11,1021
DEALID426,INR,,12-Mar-11,1022
DEALID427,IQD,,13-Mar-11,1023
DEALID428,IRR,,14-Mar-11,1024
DEALID429,ISK,,15-Mar-11,1025
DEALID430,JMD,,16-Mar-11,1026
DEALID431,JOD,,17-Mar-11,1027
DEALID432,JPY,,18-Mar-11,1028
DEALID433,KES,,19-Mar-11,1029
DEALID434,KGS,,20-Mar-11,1030
DEALID435,KHR,,21-Mar-11,1031
DEALID436,KMF,,22-Mar-11,1032
DEALID437,KPW,,23-Mar-11,1033
DEALID438,KRW,,24-Mar-11,1034
DEALID439,KWD,,25-Mar-11,1035
DEALID440,KYD,,26-Mar-11,1036
DEALID441,KZT,,27-Mar-11,1037
DEALID442,LAK,,28-Mar-11,1038
DEALID443,LBP,,29-Mar-11,1039
DEALID444,LKR,,30-Mar-11,1040
DEALID445,LRD,,31-Mar-11,1041
DEALID446,LSL,,01-Apr-11,1042
DEALID447,LYD,,02-Apr-11,1043
DEALID448,MAD,,03-Apr-11,1044
DEALID449,MDL,,04-Apr-11,1045
DEALID450,MGA,,05-Apr-11,1046
DEALID451,MKD,,06-Apr-11,1047
DEALID452,MMK,,07-Apr-11,1048
DEALID453,MNT,,08-Apr-11,1049
DEALID454,MOP,,09-Apr-11,1050
DEALID455,MRO,,10-Apr-11,1051
DEALID456,MUR,,11-Apr-11,1052
DEALID457,MVR,,12-Apr-11,1053
DEALID458,MWK,,13-Apr-11,1054
DEALID459,MXN,,14-Apr-11,1055
DEALID460,MXV,,15-Apr-11,1056
DEALID461,MYR,,16-Apr-11,1057
DEALID462,MZN,,17-Apr-11,1058
DEALID463,NAD,,18-Apr-11,1059
DEALID464,NGN,,19-Apr-11,1060
DEALID465,NIO,,20-Apr-11,1061
DEALID466,NOK,,21-Apr-11,1062
DEALID467,NPR,,22-Apr-11,1063
DEALID468,NZD,,23-Apr-11,1064
DEALID469,OMR,,24-Apr-11,1065
DEALID470,PAB,,25-Apr-11,1066
DEALID471,PEN,,26-Apr-11,1067
DEALID472,PGK,,27-Apr-11,1068
DEALID473,PHP,,28-Apr-11,1069
DEALID474,PKR,,29-Apr-11,1070
DEALID475,PLN,,30-Apr-11,1071
DEALID476,PYG,,01-May-11,1072
DEALID477,QAR,,02-May-11,1073
DEALID478,RON,,03-May-11,1074
DEALID479,RSD,,04-May-11,1075
DEALID480,RUB,,05-May-11,1076
DEALID481,RWF,,06-May-11,1077
DEALID482,SAR,,07-May-11,1078
DEALID483,SBD,,08-May-11,1079
DEALID484,SCR,,09-May-11,1080
DEALID485,SDG,,10-May-11,1081
DEALID486,SEK,,11-May-11,1082
DEALID487,SGD,,12-May-11,1083
DEALID488,SHP,,13-May-11,1084
DEALID489,SLL,,14-May-11,1085
DEALID490,SOS,,15-May-11,1086
DEALID491,SRD,,16-May-11,1087
DEALID492,SSP,,17-May-11,1088
DEALID493,STD,AED,18-May-11,1089
DEALID494,SVC,AFN,19-May-11,1090
DEALID495,SYP,ALL,20-May-11,1091
DEALID496,SZL,AMD,21-May-11,1092
DEALID497,THB,ANG,22-May-11,1093
DEALID498,TJS,AOA,23-May-11,1094
DEALID499,TMT,ARS,24-May-11,1095
DEALID500,TND,AUD,25-May-11,1096
DEALID501,TOP,AWG,26-May-11,1097
DEALID502,TRY,AZN,27-May-11,1098
DEALID503,TTD,BAM,28-May-11,1099
DEALID504,TWD,BBD,29-May-11,1100
DEALID505,TZS,BDT,30-May-11,1101
DEALID506,UAH,BGN,31-May-11,1102
DEALID507,UGX,BHD,01-Jun-11,1103
DEALID508,USD,BIF,02-Jun-11,1104
DEALID509,USN,BMD,03-Jun-11,1105
DEALID510,UYI,BND,04-Jun-11,1106
DEALID511,UYU,BOB,05-Jun-11,1107
DEALID512,UZS,BOV,06-Jun-11,1108
DEALID513,VEF,BRL,07-Jun-11,1109
DEALID514,VND,BSD,08-Jun-11,1110
DEALID515,VUV,BTN,09-Jun-11,1111
DEALID516,WST,BWP,10-Jun-11,1112
DEALID517,XAF,BYN,11-Jun-11,1113
DEALID518,XAG,BZD,12-Jun-11,1114
DEALID519,XAU,CAD,13-Jun-11,1115
DEALID520,XBA,CDF,14-Jun-11,1116
DEALID521,XBB,CHE,15-Jun-11,1117
DEALID522,XBC,CHF,16-Jun-11,1118
DEALID523,XBD,CHW,17-Jun-11,1119
DEALID524,XCD,CLF,18-Jun-11,1120
DEALID525,XDR,CLP,19-Jun-11,1121
DEALID526,XOF,CNY,20-Jun-11,1122
DEALID527,XPD,COP,21-Jun-11,1123
DEALID528,XPF,COU,22-Jun-11,1124
DEALID529,XPT,CRC,23-Jun-11,1125
DEALID530,XSU,CUC,24-Jun-11,1126
DEALID531,XTS,CUP,25-Jun-11,1127
DEALID532,XUA,CVE,26-Jun-11,1128
DEALID533,XXX,CZK,27-Jun-11,1129
DEALID534,YER,DJF,28-Jun-11,1130
DEALID535,ZAR,DKK,29-Jun-11,1131
DEALID536,ZMW,DOP,30-Jun-11,1132
DEALID537,ZWL,DZD,01-Jul-11,1133
DEALID538,AED,EGP,02-Jul-11,1134
DEALID539,AFN,ERN,03-Jul-11,1135
DEALID540,ALL,ETB,04-Jul-11,1136
DEALID541,AMD,EUR,05-Jul-11,1137
DEALID542,ANG,FJD,06-Jul-11,1138
DEALID543,AOA,FKP,07-Jul-11,1139
DEALID544,ARS,GBP,08-Jul-11,1140
DEALID545,AUD,GEL,09-Jul-11,1141
DEALID546,AWG,GHS,10-Jul-11,1142
DEALID547,AZN,GIP,11-Jul-11,1143
DEALID548,BAM,GMD,12-Jul-11,1144
DEALID549,BBD,GNF,13-Jul-11,1145
DEALID550,BDT,GTQ,14-Jul-11,1146
DEALID551,BGN,GYD,15-Jul-11,1147
DEALID552,BHD,HKD,16-Jul-11,1148
DEALID553,BIF,HNL,17-Jul-11,1149
DEALID554,BMD,HRK,18-Jul-11,1150
DEALID555,BND,HTG,19-Jul-11,1151
DEALID556,BOB,HUF,20-Jul-11,1152
DEALID557,BOV,IDR,21-Jul-11,1153
DEALID558,BRL,ILS,22-Jul-11,1154
DEALID559,BSD,INR,23-Jul-11,1155
DEALID560,BTN,IQD,24-Jul-11,1156
DEALID561,BWP,IRR,25-Jul-11,1157
DEALID562,BYN,ISK,26-Jul-11,1158
DEALID563,BZD,JMD,27-Jul-11,1159
DEALID564,CAD,JOD,28-Jul-11,1160
DEALID565,CDF,JPY,29-Jul-11,1161
DEALID566,CHE,KES,30-Jul-11,1162
DEALID567,CHF,KGS,31-Jul-11,1163
DEALID568,CHW,KHR,01-Aug-11,1164
DEALID569,CLF,KMF,02-Aug-11,1165
DEALID570,CLP,KPW,03-Aug-11,1166
DEALID571,CNY,KRW,04-Aug-11,1167
DEALID572,COP,KWD,05-Aug-11,1168
DEALID573,COU,KYD,06-Aug-11,1169
